Code, Routine, Start Time, Stop Time, Description
T, morning, 2018-02-14T04:48:17-05:00, 2018-02-14T04:49:50-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-14T04:53:58-05:00, 2018-02-14T04:55:41-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-14T04:59:23-05:00, 2018-02-14T05:00:07-05:00, Make Bed,
EX, morning, , 2018-02-14T06:42:58-05:00, Morning Exercises, finished earlier
FD, morning, 2018-02-14T06:44:16-05:00, 2018-02-14T07:12:36-05:00, Breakfast and Meds,
BT, morning, 2018-02-14T07:13:15-05:00, 2018-02-14T07:26:02-05:00, Brush Teeth,
SH, morning, 2018-02-14T07:26:50-05:00, 2018-02-14T07:43:21-05:00, Shave and Shower,
FT, morning, 2018-02-14T07:43:47-05:00, 2018-02-14T08:05:12-05:00, Fissure Treatment,
CL, morning, 2018-02-14T08:06:12-05:00, 2018-02-14T08:17:14-05:00, Put Clothes On,
EY, morning, 2018-02-14T08:24:38-05:00, 2018-02-14T08:25:43-05:00, Eye Lubricant Again,
T, morning, , 2018-02-14T08:26:50-05:00, Update Todo List, finished earlier
EY, midday, , 2018-02-14T12:20:12-05:00, Midday Eye Lubricant, finished earlier
FD, midday, 2018-02-14T12:20:19-05:00, 2018-02-14T12:46:10-05:00, Lunch and Meds,
T, evening, 2018-02-14T18:31:35-05:00, 2018-02-14T18:37:51-05:00, Update Todo List,
EY, evening, 2018-02-14T18:37:55-05:00, 2018-02-14T18:39:01-05:00, Afternoon Eye Lubricant,
FD, evening, 2018-02-14T18:39:11-05:00, 2018-02-14T20:00:47-05:00, Dinner and Meds,
BT, evening, 2018-02-14T20:40:28-05:00, 2018-02-14T20:49:00-05:00, Brush Teeth,
FT, evening, 2018-02-14T20:49:02-05:00, 2018-02-14T21:08:22-05:00, Fissure Treatment,
BG, evening, 2018-02-14T21:09:00-05:00, 2018-02-14T21:09:59-05:00, Bandage Ear,
EY, evening, , 2018-02-14T21:11:44-05:00, Nighttime Eye Lubricant, finished earlier
DG, evening, 2018-02-14T21:11:54-05:00, 2018-02-14T21:12:23-05:00, Dental Guard,
SL, evening, 2018-02-14T21:12:26-05:00, 2018-02-15T05:45:34-05:00, Go to Sleep,
B, morning, 2018-02-15T05:45:59-05:00, 2018-02-15T06:05:56-05:00, Get Out of Bed,
T, morning, 2018-02-15T06:12:35-05:00, 2018-02-15T06:21:47-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-15T06:21:50-05:00, 2018-02-15T06:25:14-05:00, Morning Eye Lubricant,
MB, morning, , 2018-02-15T06:27:42-05:00, Make Bed, finished earlier
