Time,Action,Goal,Task
1521450622.15,stop,SLEEP,
1521450788.71,start,BLOCKED,
1521460402.26,stop,BLOCKED,
1521460416.26,start,REC,eeg battery
1521460417.13,stop,REC,eeg battery
1521462237.69,start,BACKEND,power
1521465995.64,stop,BACKEND,power
1521467322,start,RESPONS,Eye Lubricant
1521467645,stop,RESPONS,Eye Lubricant
1521467680.3,start,RESPONS,Meds
1521468204.06,stop,RESPONS,Meds
1521468216.3,start,RESPONS,cleaning
1521469577,start,RESPONS,Brush Teeth
1521469580,stop,RESPONS,Brush Teeth
1521469613.33,start,RESPONS,cleaning
1521470163,start,RESPONS,Fissure Treatment
1521471173,stop,RESPONS,Fissure Treatment
1521472083,start,RESPONS,Eye Lubricant
1521472193,stop,RESPONS,Eye Lubricant
1521472640.49,stop,RESPONS,cleaning
1521472652.97,start,RESPONS,meeting
1521550182,start,RESPONS,Eye Lubricant
1521550742,stop,RESPONS,Eye Lubricant
1521552891.71,start,RESPONS,Meds
1521556393.35,stop,RESPONS,Meds
1521557846,start,RESPONS,Brush Teeth
1521558501,stop,RESPONS,Brush Teeth
1521590022.86,start,BACKEND,power
1521596427.19,stop,BACKEND,power
1521597984.48,start,RESP,Eye Lubricant
1521598018.91,start,RESPONS,Eye Lubricant
1521598090.16,stop,RESPONS,Eye Lubricant
1521634964.21,start,RESPONS,dermal care
1521635028.55,stop,RESPONS,dermal care
1521635147.66,start,REC,eeg battery
1521635314.92,stop,REC,eeg battery
1521635371.74,start,SAFE,noise
1521635386.49,stop,SAFE,noise
1521635544.59,start,SAFE,noise
1521641027.26,stop,SAFE,noise
1521641036.27,start,BLOCKED,
1521647049.64,stop,BLOCKED,
1521648036.53,start,RESPONS,mooney
1521651299.74,stop,RESPONS,mooney
1521651701.79,start,RESPONS,routine
1521651706,start,RESPONS,Eye Lubricant
1521651761,stop,RESPONS,Eye Lubricant
1521651788.83,stop,RESPONS,routine
1521651796.41,start,RESPONS,Meds
1521652789.57,stop,RESPONS,Meds
1521652805.86,start,RESPONS,katie
1521654029.39,stop,RESPONS,katie
1521654071.11,start,SAFE,wv
1521654229.56,stop,SAFE,wv
1521654243.02,start,RESPONS,katie
1521655294,start,RESPONS,Brush Teeth
1521656079,stop,RESPONS,Brush Teeth
1521658041,start,RESPONS,Fissure Treatment
1521658668,stop,RESPONS,Fissure Treatment
1521658810,start,RESPONS,Fissure Treatment
1521658892.45,stop,RESPONS,katie
1521658898.84,start,RESPONS,routine
1521725054.77,start,RESPONS,routine
1521726478,start,RESPONS,Eye Lubricant
1521726579,stop,RESPONS,Eye Lubricant
1521727826.99,stop,RESPONS,routine
1521727839.28,start,BACKEND,org
1521733426.64,stop,BACKEND,org
1521733455.22,start,RESPONS,ip jeremy
1521734660.31,stop,RESPONS,ip jeremy
1521734667,start,RESPONS,Meds
1521734683,stop,RESPONS,Meds
1521734702.67,start,RESPONS,routine
1521735373.77,stop,RESPONS,routine
1521737232.89,start,RESPONS,routine
1521737240,start,RESPONS,Brush Teeth
1521738803,stop,RESPONS,Brush Teeth
1521740579,start,RESPONS,Fissure Treatment
1521741512,stop,RESPONS,Fissure Treatment
1521742070,start,RESPONS,Eye Lubricant
1521742224,stop,RESPONS,Eye Lubricant
1521743865.23,stop,RESPONS,routine
1521748971.35,start,RESPONS,meetings
1521752174.57,stop,RESPONS,meetings
1521752236.11,start,RESPONS,dermal care
1521752324.9,stop,RESPONS,dermal care
1521752450.47,start,SUST,fiber
1521757073.28,heartbeat,SUST,fiber
1521769482.94,stop,SUST,fiber
1521770283.83,start,RESPONS,Eye Lubricant
1521770349.04,stop,RESPONS,Eye Lubricant
1521770362.68,start,SLEEP,
1521800759.7,stop,SLEEP,
1521800777.94,start,RESPONS,routine
1521801539,start,RESPONS,Eye Lubricant
1521801605,stop,RESPONS,Eye Lubricant
1521801628,start,RESPONS,Meds
1521801702,heartbeat,RESPONS,Meds
1521801778,heartbeat,RESPONS,Meds
1521802427,stop,RESPONS,Meds
1521802437,start,RESPONS,Meds
1521804051,stop,RESPONS,Meds
1521804612,start,RESPONS,Brush Teeth
1521805557,stop,RESPONS,Brush Teeth
1521900699.48,start,RESPONS,Eye Lubricant
1521900759.54,stop,RESPONS,Eye Lubricant
1521900777.28,start,REC,eeg battery
1521901152.07,stop,REC,eeg battery
1521901169.71,start,SUST,fiber
1521903280.0,stop,SUST,fiber
1521903730.98,start,SUST,fiber
1521905097.93,stop,SUST,fiber
1521905585.93,start,SUST,fiber
1521906511.41,stop,SUST,fiber
1521906707.69,start,SUST,fiber
1521986262.74,start,REC,eeg
1521987609.9,stop,REC,eeg
1521987648.61,start,RESPONS,routine
1521988006,start,RESPONS,Eye Lubricant
1521988103,stop,RESPONS,Eye Lubricant
1521992289,start,RESPONS,Meds
1521992336,heartbeat,RESPONS,Meds
